Metabolite,Smiles
pe161_c,CCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCCC=CCCCCCC
pg140_c,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC(O)CO)OC(=O)CCCCCCCCCCCCC
pgp141_c,CCCCCCC=CCCCCCC(=O)OCC(COP(=O)([O-])OCC(O)COP(=O)([O-])O)OC(=O)CCCCCC=CCCCCCC
pgp161_c,CCCCCC/C=C\\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)O)OC(=O)CCCCCCC/C=C\\CCCCCC
phthr_c,[NH3+][C@H](C(=O)[O-])[C@H](O)COP(=O)([O-])[O-]
pnto__R_c,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)[O-]
ppi_c,O=P([O-])([O-])OP(=O)([O-])O
ps140_c,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCNC(=O)[O-])OC(=O)CCCCCCCCCCCCC
ps160_c,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCNC(=O)[O-])OC(=O)CCCCCCCCCCCCCCC
ps161_c,CCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCCNC(=O)[O-])OC(=O)CCCCCCCC=CCCCCCC
ps180_c,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCNC(=O)[O-])OC(=O)CCCCCCCCCCCCCCCCC
ps181_c,CCCCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCNC(=O)[O-])OC(=O)CCCCCCCCCC=CCCCCCC
q8_c,COC1=C(OC)C(=O)C(C/C=C(\\C)CC/C=C(\\C)CC/C=C(\\C)CC/C=C(\\C)CC/C=C(\\C)CC/C=C(\\C)CC/C=C(\\C)CCC=C(C)C)=C(C)C1=O
s17bp_c,O=C(COP(=O)([O-])[O-])[C@@H](O)[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]
skm5p_c,O=C([O-])C1=C[C@@H](OP(=O)([O-])[O-])[C@@H](O)[C@H](O)C1
trp__L_c,[NH3+][C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-]
tyr__L_c,[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]
u23ga_c,CCCCCCCCCCC[C@@H](O)CC(=O)N[C@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1OC(=O)C[C@H](O)CCCCCCCCCCC
udpLa4n_c,[NH3+][C@H]1CO[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@H]1O
udpLa4o_c,O=C1CO[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@H]1O
udpgal_c,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
ugmd_c,CC(=O)N[C@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](CCC(=O)N[C@@H](CCC[C@@H]([NH3+])C(=O)[O-])C(=O)[O-])C(=O)[O-]
urate_c,O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1
urdglyc_c,NC(=O)N[C@H](O)C(=O)O
xu5p__D_c,O=C(CO)[C@@H](O)[C@H](O)COP(=O)([O-])[O-]
12ppd__R_e,C[C@@H](O)CO
ade_e,Nc1ncnc2[nH]cnc12
alltn_e,NC(=O)NC1NC(=O)NC1=O
1agpe180_p,CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OCC[NH3+]
1agpg141_p,C=CCCCCCCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC(O)CO
1agpg161_p,CCCCCC/C=C\\CCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)OC[C@@H](O)CO
1agpg181_p,CCCCCCCC/C=C/CCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC(O)CO
2agpe120_p,CCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)([O-])OCC[NH3+]
2agpe161_p,c
2agpe180_p,CCCCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)([O-])OCC[NH3+]
2agpg141_p,CCCCCCC=CCCCCCC(=O)OCC(O)COP(=O)([O-])OCC(O)CO
adn_p,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
ins_p,OC[C@H]1O[C@@H](n2cnc3c(O)ncnc32)[C@H](O)[C@@H]1O
kdo2lipid4_p,CCCCCCCCCCC[C@@H](O)CC(=O)N[C@H]1[C@@H](OP(=O)([O-])[O-])O[C@H](CO[C@@H]2O[C@H](CO[C@]3(C(=O)[O-])C[C@@H](O[C@]4(C(=O)[O-])C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O4)[C@@H](O)[C@@H]([C@H](O)CO)O3)[C@@H](OP(=O)([O-])[O-])[C@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@H]2NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](O)[C@@H]1OC(=O)C[C@H](O)CCCCCCCCCCC
pe161_p,CCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCCC=CCCCCCC
pg140_p,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC(O)CO)OC(=O)CCCCCCCCCCCCC
pgp141_p,CCCCCCC=CCCCCCC(=O)OCC(COP(=O)([O-])OCC(O)COP(=O)([O-])O)OC(=O)CCCCCC=CCCCCCC
pgp161_p,CCCCCC/C=C\\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)O)OC(=O)CCCCCCC/C=C\\CCCCCC
ttdca_p,CCCCCCCCCCCCCC(=O)[O-]
5pg35pg_c,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])O[C@@H]3[C@@H](COP(=O)([O-])[O-])O[C@@H](n4cnc5c(=O)[nH]c(N)nc54)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
4hbz_p,O=C([O-])c1ccc(O)cc1
nadhx__S_c,c
